X	Y	Z	A	B	Unranged	r_gyration
2.9025	3.47625	6.24375	0	6	0	0.396473
7.79625	1.4175	7.39125	0	2	0	0.143189
2.43	4.05	4.6575	0	2	0	0.2025
7.8975	0.91125	6.58125	0	2	0	0.143189
7.59375	0.70875	7.29	0	2	0	0.143189
1.215	5.13	0.135	0	3	0	0.27
6.966	1.9035	7.4925	0	5	0	0.40903
6.885	0.2025	7.29	0	2	0	0.2025
6.48	0.81	7.8975	0	2	0	0.2025
0.81	5.97375	2.00475	0	10	0	0.563372
1.4175	6.04125	1.31625	0	6	0	0.562725
1.92375	5.265	0.10125	0	2	0	0.248011
1.92375	5.265	1.11375	0	2	0	0.143189
7.695	1.51875	4.15125	0	2	0	0.248011
7.8975	0.2025	4.6575	0	2	0	0.2025
2.025	5.97375	0.50625	0	2	0	0.143189
1.215	4.3875	1.9575	0	3	0	0.393589
7.18875	0.30375	3.8475	0	2	0	0.143189
1.11375	5.0625	2.53125	0	2	0	0.143189
0.70875	4.55625	3.4425	0	2	0	0.248011
0.70875	5.31563	3.49312	0	4	0	0.357973
7.2675	1.395	5.8275	0	9	0	0.553884
2.52281	5.09625	3.16406	0	24	0	0.848042
7.3305	0.2835	5.832	0	5	0	0.348394
6.50531	0.961875	4.58156	0	8	0	0.555723
1.08	7.32375	0.43875	0	6	0	0.474905
5.52375	3.825	6.71625	0	18	0	0.823789
1.6875	7.29	1.8225	0	3	0	0.344184
0.2025	7.79625	0.70875	0	2	0	0.143189
0.6075	7.6275	1.755	0	3	0	0.357177
1.89	7.56	1.0125	0	6	0	0.426908
1.755	6.6825	1.0125	0	3	0	0.190919
5.6025	2.16	6.4125	0	3	0	0.165341
4.96125	3.34125	7.8975	0	2	0	0.143189
4.455	3.34125	6.98625	0	2	0	0.248011
0.869559	7.30191	4.14529	0	17	0	0.688826
0.6885	7.5735	2.754	0	5	0	0.280592
4.96125	3.24	6.17625	0	2	0	0.248011
5.0625	2.43	5.67	0	2	0	0.2025
5.51813	4.10063	4.05	0	4	0	0.372016
1.92375	7.79625	3.24	0	2	0	0.248011
5.7105	2.2275	4.698	0	5	0	0.379924
4.6575	3.5775	4.725	0	3	0	0.393589
2.73375	4.91063	1.0125	0	8	0	0.552254
2.7	4.2525	1.5525	0	3	0	0.27
3.24	4.5225	0.7425	0	3	0	0.393589
3.645	4.2525	0	0	2	0	0.2025
3.4425	5.4675	0.405	0	3	0	0.405
4.55365	5.535	2.99596	0	39	0	1.1255
5.0625	3.3615	5.265	0	5	0	0.375582
3.68182	6.2775	0.312955	0	11	0	0.61167
2.32875	6.885	1.51875	0	2	0	0.143189
3.105	7.72875	1.24875	0	6	0	0.516276
3.4425	6.37875	1.31625	0	2	0	0.143189
4.2525	2.73375	4.75875	0	2	0	0.248011
5.8725	1.2825	4.995	0	3	0	0.27
5.69613	1.09742	6.84581	0	31	0	0.930016
3.00857	7.40572	2.835	0	7	0	0.544288
5.36625	0.6075	4.55625	0	2	0	0.143189
4.96125	0.2025	5.97375	0	2	0	0.248011
3.4425	6.075	3.24	0	2	0	0.2025
3.9285	6.885	2.7945	0	5	0	0.496022
2.89575	6.90525	4.5765	0	10	0	0.412027
4.005	7.0875	4.1625	0	9	0	0.587591
7.59375	2.32875	2.6325	0	2	0	0.143189
0.232875	5.0625	5.61938	0	20	0	0.868983
7.371	3.564	3.888	0	5	0	0.436199
1.485	4.75875	5.23125	0	6	0	0.434838
1.51875	4.55625	6.2775	0	2	0	0.248011
6.2775	3.13875	3.13875	0	2	0	0.143189
1.4175	5.35179	6.13286	0	7	0	0.536545
0.81	4.74429	7.05857	0	7	0	0.462857
0.2025	4.15125	7.79625	0	2	0	0.248011
7.42855	4.63086	2.49928	0	38	0	1.11743
6.78375	2.58188	2.37937	0	4	0	0.295192
1.99607	5.64107	7.40572	0	7	0	0.504387
7.776	2.0655	3.4425	0	5	0	0.362243
1.26562	6.17625	4.50563	0	4	0	0.357973
6.98625	0	2.93625	0	2	0	0.143189
0.4725	7.45875	5.43375	0	6	0	0.340858
7.59375	0	1.31625	0	2	0	0.143189
1.62	6.58125	5.36625	0	2	0	0.248011
1.485	6.6825	6.0075	0	3	0	0.27
1.215	7.4925	6.075	0	2	0	0.2025
0.405	6.345	6.75	0	3	0	0.357177
0.5265	6.4395	7.695	0	5	0	0.384217
0.10125	7.18875	7.29	0	2	0	0.143189
6.48	0	1.4175	0	2	0	0.2025
1.134	7.5735	7.3305	0	5	0	0.375582
7.32116	1.29288	1.0125	0	13	0	0.68962
5.94	3.375	0.405	0	3	0	0.316603
5.4675	3.6045	1.62	0	5	0	0.392662
2.2275	6.9255	7.776	0	5	0	0.338847
2.73375	4.86	5.16375	0	2	0	0.248011
3.88547	5.51812	6.885	0	32	0	1.13927
4.2525	2.73375	1.51875	0	2	0	0.248011
6.1425	2.6325	2.16	0	3	0	0.357176
2.93625	6.075	5.16375	0	2	0	0.143189
5.4	2.16	2.7	0	3	0	0.330681
4.455	2.12625	2.32875	0	2	0	0.248011
7.06109	2.54446	0.906848	0	23	0	1.04968
3.7125	4.725	6.2775	0	3	0	0.27
5.97375	1.92375	0	0	2	0	0.143189
5.36625	1.92375	0.2025	0	2	0	0.248011
6.29056	1.35218	2.76968	0	31	0	1.01538
3.4425	5.77125	5.97375	0	2	0	0.248011
4.60688	1.87313	1.4175	0	4	0	0.343356
4.86	0.405	0.2025	0	2	0	0.2025
3.4425	7.695	6.48	0	2	0	0.2025
2.43	6.83438	6.02438	0	8	0	0.521216
2.025	7.39125	4.75875	0	4	0	0.378843
4.15125	6.86475	7.1685	0	10	0	0.639721
3.74625	6.78375	5.67	0	2	0	0.248011
3.24	7.695	5.4	0	3	0	0.301869
2.6325	7.83	6.0075	0	3	0	0.213454
2.3895	6.6015	7.128	0	5	0	0.348394
